water_depth_m,u_mid_m,Ky_N_per_m,Ky_kN_per_m
160.1,-3.5,1248066.137,1248.066137
160.1,-2.5,1222349.297,1222.349297
160.1,-1.5,1203815.901,1203.815901
160.1,-0.5,1194112.689,1194.112689
160.1,0.5,1194112.689,1194.112689
160.1,1.5,1203815.901,1203.815901
160.1,2.5,1222349.297,1222.349297
160.1,3.5,1248066.137,1248.066137
160.1,4.5,1278742.245,1278.742245
160.1,5.5,1311853.116,1311.853116
160.1,6.5,1344891.157,1344.891157
160.1,7.5,1375661.194,1375.661194
160.1,8.5,1402492.583,1402.492583
160.1,9.5,1424331.845,1424.331845
160.1,10.5,1440719.077,1440.719077
160.1,11.5,1451682.035,1451.682035
160.1,12.5,1457593.566,1457.593566
160.1,13.5,1459031.039,1459.031039
160.1,14.5,1456660.895,1456.660895
160.1,15.5,1451156.368,1451.156368
160.1,16.5,1443146.344,1443.146344
160.1,17.5,1433188.743,1433.188743
160.1,18.5,1421760.873,1421.760873
160.1,19.5,1409260.317,1409.260317
160.1,20.5,1396011.549,1396.011549
160.1,21.5,1382275.106,1382.275106
160.1,22.5,1368257.344,1368.257344
160.1,23.5,1354119.721,1354.119721
160.1,24.5,1339987.078,1339.987078
160.1,25.5,1325954.747,1325.954747
160.1,26.5,1312094.499,1312.094499
160.1,27.5,1298459.424,1298.459424
160.1,28.5,1285087.884,1285.087884
160.1,29.5,1272006.7,1272.0067
160.1,30.5,1259233.68,1259.23368
160.1,31.5,1246779.642,1246.779642
160.1,32.5,1234650.004,1234.650004
160.1,33.5,1222846.049,1222.846049
160.1,34.5,1211365.915,1211.365915
160.1,35.5,1200205.373,1200.205373
160.1,36.5,1189358.455,1189.358455
160.1,37.5,1178817.911,1178.817911
160.1,38.5,1168575.615,1168.575615
160.1,39.5,1158622.837,1158.622837
160.1,40.5,1148950.481,1148.950481
160.1,41.5,1139549.263,1139.549263
160.1,42.5,1130409.841,1130.409841
160.1,43.5,1121522.909,1121.522909
160.1,44.5,1112879.373,1112.879373
160.1,45.5,1104470.153,1104.470153
160.1,46.5,1096286.57,1096.28657
160.1,47.5,1088319.678,1088.319678
160.1,48.5,1080563.016,1080.563016
160.1,49.5,1073006.034,1073.006034
160.1,50.5,1065642.857,1065.642857
160.1,51.5,1058465.72,1058.46572
160.1,52.5,1051467.589,1051.467589
160.1,53.5,1044641.726,1044.641726
160.1,54.5,1037981.672,1037.981672
160.1,55.5,1031481.253,1031.481253
160.1,56.5,1025134.557,1025.134557
160.1,57.5,1018935.935,1018.935935
160.1,58.5,1012879.989,1012.879989
160.1,59.5,1006961.529,1006.961529
160.1,60.5,1001175.698,1001.175698
160.1,61.5,995517.6804,995.5176804
160.1,62.5,989983.0425,989.9830425
160.1,63.5,984567.4035,984.5674035
160.1,64.5,979267.4392,979.2674392
160.1,65.5,974076.3896,974.0763896
160.1,66.5,968994.5934,968.9945934
160.1,67.5,964015.7059,964.0157059
160.1,68.5,959137.078,959.137078
160.1,69.5,954355.2245,954.3552245
160.1,70.5,949667.05,949.66705
160.1,71.5,945069.6606,945.0696606
160.1,72.5,940559.8798,940.5598798
160.1,73.5,936135.14,936.13514
160.1,74.5,931792.6633,931.7926633
160.1,75.5,927529.9569,927.5299569
160.1,76.5,923344.4426,923.3444426
160.1,77.5,919233.8166,919.2338166
160.1,78.5,915195.7875,915.1957875
160.1,79.5,911228.1359,911.2281359
160.1,80.5,907328.7437,907.3287437
160.1,81.5,903495.561,903.495561
160.1,82.5,899726.5168,899.7265168
