water_depth_m,u_mid_m,Kz_N_per_m,Kz_kN_per_m
160.6,2.5,84768.34204567762,84.76834204567763
160.6,3.5,84853.07141382615,84.85307141382616
160.6,4.5,84925.41629060992,84.92541629060992
160.6,5.5,84985.72068299583,84.98572068299583
160.6,6.5,85034.33331286513,85.03433331286513
160.6,7.5,85071.6065191515,85.07160651915149
160.6,8.5,85097.89519991829,85.09789519991828
160.6,9.5,85113.55579637241,85.11355579637241
160.7,-24.5,76828.6427832815,76.8286427832815
160.7,-23.5,77329.50339380336,77.32950339380336
160.7,-22.5,77814.42119685587,77.81442119685586
160.7,-21.5,78283.24760298009,78.28324760298008
160.7,-20.5,78735.85694465286,78.73585694465285
160.7,-19.5,79172.14698797996,79.17214698797996
160.7,-18.5,79592.03932499314,79.59203932499314
160.7,-17.5,79995.47964654588,79.99547964654587
160.7,-16.5,80382.43789500048,80.38243789500048
160.7,-15.5,80752.90829603084,80.75290829603084
160.7,-14.5,81106.90926909371,81.1069092690937
160.7,-13.5,81444.48322013883,81.44448322013884
160.7,-12.5,81765.69621743527,81.76569621743526
160.7,-11.5,82070.63755636665,82.07063755636665
160.7,-10.5,82359.4192166686,82.3594192166686
160.7,-9.5,82632.17521899974,82.63217521899973
160.7,-8.5,82889.0608873898,82.8890608873898
160.7,-7.5,83130.25202447151,83.13025202447152
160.7,-6.5,83355.94400864339,83.35594400864339
160.7,-5.5,83566.35082030103,83.56635082030103
160.7,-4.5,83761.7040076378,83.7617040076378
160.7,-3.5,83942.25159998026,83.94225159998025
160.7,-2.5,84108.25697832026,84.10825697832027
160.7,-1.5,84259.99771211245,84.25999771211245
160.7,-0.5,84397.76437238706,84.39776437238706
160.7,0.5,84521.85932857692,84.52185932857692
160.7,1.5,84632.59553903679,84.63259553903679
160.7,2.5,84730.29534266339,84.7302953426634
160.7,3.5,84815.28926001732,84.81528926001732
160.7,4.5,84887.9148101651,84.8879148101651
160.7,5.5,84948.51535180573,84.94851535180574
160.7,6.5,84997.43895206762,84.99743895206763
160.7,7.5,85035.03729062156,85.03503729062156
160.7,8.5,85061.6646036597,85.0616646036597
160.7,9.5,85077.67666973713,85.07767666973713
160.8,-24.5,76791.38856639358,76.79138856639358
160.8,-23.5,77291.91249878277,77.29191249878276
160.8,-22.5,77776.5177020456,77.77651770204561
160.8,-21.5,78245.05577736297,78.24505577736296
160.8,-20.5,78697.40120771326,78.69740120771327
160.8,-19.5,79133.45186872374,79.13345186872374
160.8,-18.5,79553.1294203363,79.5531294203363
160.8,-17.5,79956.37957928253,79.95637957928253
160.8,-16.5,80343.17227156344,80.34317227156343
160.8,-15.5,80713.50166425708,80.71350166425708
160.8,-14.5,81067.38607620959,81.06738607620959
160.8,-13.5,81404.86777117236,81.40486777117236
160.8,-12.5,81726.01263426186,81.72601263426186
160.8,-11.5,82030.90973758354,82.03090973758354
160.8,-10.5,82319.6707984881,82.3196707984881
